m/GeV, Lambda/GeV, m/Lambda, Alpha(m), RPocket/Lambda, Yfo, Ysqo, xGBfo, TMReq/GeV, Gamma_GB/GeV, dilution_factor, Omegah2
20092.33002565048,200.9233002565048,100.0,0.12403421398562192,1.2744324609941416e9,1.2049993960953085e-12,1.7318485968533134e-21,16.805554879017873,0.02789678991897962,3.638722401447552e-14,0.9999999743572925,1.39294946114465e-8
23101.297000831604,231.01297000831605,100.0,0.12403421398562192,1.1240130934182112e9,1.3823410603063988e-12,2.2336126998668257e-21,16.708157432897448,0.032261502533571795,4.1644629284521586e-14,0.9999999654584505,2.065567371074445e-8
26560.87782946687,265.6087782946687,100.0,0.12403421398562192,9.913475000393796e8,1.5857514542121083e-12,2.883225838838539e-21,16.612852314766876,0.03730568383311306,4.7662152567597014e-14,0.9999999534784729,3.0656051085802604e-8
30538.555088334157,305.3855508833416,100.0,0.12403421398562192,8.743402292989738e8,1.8190625290697116e-12,3.728233444087274e-21,16.51790008265133,0.04313903594457921,5.4549761970305487e-14,0.9999999373330862,4.5577101371618925e-8
35111.91734215131,351.1191734215131,100.0,0.12403421398562192,7.711431526686804e8,2.086680070264723e-12,4.820869772356176e-21,16.420620561428457,0.04989324661951713,6.24333446943897e-14,0.9999999155286814,6.77602585410909e-8
40370.172585965534,403.70172585965537,100.0,0.12403421398562192,6.801262734811805e8,2.3936334604209233e-12,6.233457287100916e-21,16.323381791002596,0.05770683463347901,7.145701286125227e-14,0.9999998860966237,1.0073599727347975e-7
46415.88833612777,464.15888336127773,99.99999999999999,0.12403421398562195,5.998519811510799e8,2.7456968702739614e-12,8.057074729083898e-21,16.226209595542787,0.0667461731054645,8.178574351708646e-14,0.9999998463382329,1.4970597614005462e-7
53366.99231206308,533.6699231206308,100.0,0.12403421398562192,5.2905234413184565e8,3.1494890870253086e-12,1.0415663998113816e-20,16.1301667852114,0.0771988186604783,9.360840127765031e-14,0.9999997926121037,2.225126696588242e-7
61359.072734131754,613.5907273413176,100.0,0.12403421398562192,4.6660908295125806e8,3.612607990868113e-12,1.346776433868817e-20,16.033743552614965,0.08929366323164381,1.071411991024148e-13,0.9999997198567281,3.3080290927944315e-7
70548.02310718645,705.4802310718645,100.0,0.12403421398562192,4.115359069996956e8,4.143765008619049e-12,1.7414091838169276e-20,15.936671397234,0.10329136481118559,1.2263166073909212e-13,0.9999996211369936,4.917910945232388e-7
