x,sigma_eff
3.715352290971726,0.14213945454074717
3.801893963205613,0.14261914093977845
3.8904514499428067,0.14311434615387175
3.981071705534973,0.14362561851055397
4.073802778041128,0.1441535264196412
4.168693834703355,0.14469865906354923
4.265795188015928,0.14526162710466717
4.365158322401661,0.14584306340956266
4.466835921509633,0.14644362378971512
4.570881896148752,0.14706398775839863
4.677351412871981,0.14770485930324853
4.786300923226383,0.14836696767396015
4.897788193684462,0.14905106818447308
5.011872336272722,0.1497579430288974
5.1286138399136485,0.15048840211033696
5.248074602497725,0.1512432838816549
5.370317963702527,0.15202345619712457
5.495408738576246,0.15282981717379487
5.623413251903491,0.1536632960612906
5.7543993733715695,0.15452485411866265
5.88843655355589,0.15541548549679488
6.025595860743578,0.1563362181247821
6.165950018614822,0.1572881145986047
